VMRSCode,"Long Description","Short Description ",Obsolete,Comments
JAMES,"Robert James Enterprises Inc","Robert James Enterprises",,
ROBCN,"Roberts Consolidated","Roberts Consolidated",,
ROBTP,"Roberts Truck Parts","Roberts Truck Parts",,
RBRCN,"Robertshaw Controls Company, Inc.",Robertshaw,,
RBRTS,"ROBERTSON TRAILERS",,,
ROBFR,"Robica Forman Tank Ltd","Robica Forman Tank Ltd",,
ROBIN,"Robin America Inc, formerly Wisconsin-Robin","Robin America",,
ROBND,"Robin Nodwell","Robin Nodwell",,
RBNRD,"ROBINAIR DIVISION",,,
ROBMT,"Robinson Metal Inc","Robinson Metal",,
RBTEC,"Robotics Technologies Inc","Robotics Technologies",,"Requested by Parts River "
STHLN,"Robroy Stahlin Non-Metallic Enclosures Inc","Robroy Stahlin Non-Metallic Enclosures Inc",,
RCHGG,"ROCHESTER GAUGES INC.",,,
"ROCHL ","Rochling Engineering Plastics Ltd","Rochling Engineering Plastics",,
RCKSL,"Rocket Seals Corp","Rocket Seals",,
RCKCL,"ROCKFORD CLUTCH DIV., BORG-WARNER",,,
RCKCW,"Rockford Commercial Warehouse","Rockford Commercial Warehouse",,
RCKFD,"Rockford Constant Velocity","Rockford Constant Velocity",,
ROCKF,"Rockford International ","Rockford International",,
RCKHL,Rockhill,Rockhill,,
RCKFL,"Rockland Flooring","Rockland Flooring",,"Requested by FedEx"
ROCKL,"Rockland Manufacturing Co","Rockland Manufacturing",,
ROCKH,"Rocklin Hydraulics","Rocklin Hydraulics",,
"ROCKW ","Rockwell American","Rockwell American",,
RCKIN,"ROCKWELL INTERNATIONAL CORP. ",,YES,"Obsolete - use ARMER"
RCKST,"ROCKWELL STANDARD DIV., NORTH AMER RW",,,
RCKWB,"Rockwell WABCO ","Rockwell WABCO",YES,"Obsolete "
ROKWD,"Rockwood Manufacturing","Rockwood Manf",,
RCKWD,"Rockwood Products ","Rockwood Products ",,
RCKHF,Rockwoodhifi,Rockwoodhifi,,
RMWRP,"Rocky Mountain Wire Rope ","Rocky Mountain Wire Rope ",,
RCMST,"Rocmaster Hydraulic Hose","Rocmaster Hydraulic Hose",,
ROCOR,"Rocore Thermal Systems ",Rocore,,
ROJOH,"Rod Johnson Associates","Rod Johnson Associates",,
RODVL,"Roda Deaco Valve Inc","Roda Deaco Valve ",,
RODEM,Rodem,Rodem,,
RODEN,"Roden Electrical Supply Co","Roden Electrical Supply",,
ROGER,"ROGERS BROTHERS CORP.",,,
ROHRX,Rohr,Rohr,,
ROILN,"ROILINE, WAUKESHA MOTOR CO.",,,
ROKAX,Roka,Roka,,
ROLMF,"ROL Manufacturing","ROL Manf",,"Requested by Parts River "
ROLFT,"ROL-LIFT CORP.",,,
ROLPK,Rol-Pak,Rol-Pak,,
ROLAX,"Rola, Brand of Horizon Global Corporation",Rola,,
ROLER,"Rolero Omega ","Rolero Omega",,
ROLCV,"Roll Cover Corporation","Roll Cover Corporation",,
RLLAW,"Roll-A-Way Conveyors Inc","Roll-A-Way Conveyors",,
ROLLO,"ROLL-O-MATIC CORP.",,,
RRLLC,"Roll-Rite LLC","Roll-Rite LLC",,
ROLTC,"Roll-Tech Inc ","Roll-Tech Inc",,
ROLTI,"Roll-Tite, Inc.",Roll-Tite,,"Requested by TMW Systems "
ROLIP,"Rollee Industrial Products ","Rollee Industrial Products ",,
RLLBD,"Rollerbed Mfg Inc","Rollerbed Mfg",,
RLLST,"RollingStar Manufacturing Inc",,,"requested by Mark Couglin"
RLLRY,"ROLLS-ROYCE MOTORS, LTD.",,,
ROMCO,"ROM Corp",ROM,,
ROMAC,"Romac Industrial Parts","Romac Industrial",,
RMELC,"Romaine Electric","Romaine Electric",,"Replaces - ROMAI"
ROMAI,"Romaine Electrical ","Romaine Electrical",YES,"Obsolete - use RMELC"
ROMAN,"Roman ",Roman,,
ROMHD,"Rome Heavy Duty",RHD,,
RMPLW,"Rome Plow","Rome Plow",,
RMTER,"Rome Tractors","Rome Tractors",,
"ROMEO ","Romeo Rim Inc","Romeo Rim",,
RONAX,"RONA Inc","RONA Inc",,
RONCO,"Ronco Industrial Supply Inc","Ronco Industrial Supply Inc",,
RONSN,"Ronson International Limited",Ronson,,
ROOFX,"ROOF MFG. CO.",,,
ROOSA,"Roosa Master","Roosa Master",,
ROOSE,"Roose Trailers",Roose,,"Requested by Parts River"
ROOTE,Rootes,Rootes,,
RTSDX,"Roots Dresser","Roots Dresser",,
ROOTS,"Roots Systems LTD","Roots System",,
RPRPM,"ROPER PUMP CO.",,,
RPPRB,"ROPPE RUBBER CORPORATION",,,
ROPLI,"Roppel Industries Toledo ","Roppel Industries Toledo",,
RORXX,"ROR Axle","ROR Axle",,
ROSAN,Rosaen,Rosaen,,
ROSCO,"ROSCO MANUFACTURING CO.",,,
RSCOX,"Rosco Mirrors","Rosco Mirrors",,
ROSEM,"Roseman Reel Mowers",Roseman,,"Requested by Parts River "
ROSBR,"Rosenbauer America",Rosenbauer,,
RSMAS,Rosmas,Rosmas,,
ROSCR,"Ross Carrier","Ross Carrier",,
ROSSC,"Ross Controls","Ross Controls",,
ROSTA,Rostar,Rostar,,
RSTRP,"ROSTRA PRECISION CONTROLS",,,
ROTRY,"Rotary Lift","Rotary Lift",,
ROTHU,Roth-USA,Roth-USA,,
ROTMS,ROTO-MASTER,,,
ROBOB,Rotobec,Rotobec,,
ROCHP,"Rotochopper Inc",Rotochopper,,
ROTOP,"RotoPrecision Inc","RotoPrecision Inc",,
RTRSN,"Rotoscreen Inc",Rotoscreen,,
ROTZL,"Rotzler Inc ","Rotzler Inc ",,
ROUHS,"Roughneck Supply","Roughneck Supply",,
ROUSH,"Roush Clean Tech","Roush Clean Tech",,
ROUSL,Rousselle,Rousselle,,
RSSIN,"ROUSSY INDUSTRIES, LTD., D & C",,,
ROVER,ROVER,,,
ROWEX,"Rowe Truck Equipment","Rowe Truck Equipment",,
ROXTC,"Roxtec International AB","Roxtec International ",,
RADCO,"Royal Adhesives & Sealants, LLC","Royal Adhesives & Sealants, LLC",,"2001 West Washington St.South Bend, IN  46628requested by Mike Krame"
RLBAT,"Royal Battery","Royal Battery",,
RCBXX,"Royal Coach Builders","Royal Coach Builders",,
ROYLM,"Royal Mat Ind","Royal Mat",,
ROYLP,"Royal Purple Inc","Royal Purple Inc",,
RYLSC,"ROYAL SCREEN CRAFT",,,
ROYAL,"Royal Trailer","Royal Trailer",,"Requested by Rich Viehdorfer, National Grid"
RPYCO,"Royco Lubricants",Royco,,
ROYZE,Royze,Royze,,
RPMIN,"RPM Industries Inc","RPM Industries",,
RPSXX,RPS,RPS,,
RPTXX,"RPT Industrial Inc","RPT Industrial",,
RSCOM,"RS Components","RS Components",,
RSCXX,"RSC Sales Company","RSC Sales",,
RSSWM,"RSSW Div. of Macpek","RSSW Div. of Macpek",,
RUSYS,"RU2 Systems","RU2 Systems",,
RUBXX,"RuB Inc","RuB Inc",,
RBRAC,"Rubber and Accessories Inc","Rubber and Accessories",,
RBRFB,"Rubber Fab","Rubber Fab",,
RBBML,"Rubber Mill","Rubber Mill",,
RBRQN,"Rubber Queen","Rubber Queen",,"Requested by FedEx"
RBRSP,"Rubber-Seal Products","Rubber-Seal Products",,
RBRMD,"Rubbermaid Products",Rubbermaid,,"Requested by Parts River "
RBBLT,Rubbolite,Rubbolite,,
RBROW,"RUBERY OWEN CANADA LTD.",,,
RUBIC,"Rubicon Express","Rubicon Express",,
RUBOI,"Rubicon Oilfield International ","Rubicon Oilfield International ",,
RUDCN,"Rud Chain Products Inc","Rud Chain",,
RUDCO,"Rudco Products Inc",Rudco,,
RDKWL,"RUDKIN-WILEY CORP.",,YES,"Obsolete - use ARSHL"
RUDRS,Ruedarsa,Ruedarsa,,
RUECO,Ruelco,Ruelco,,
RUGGR,Ruggerini,Ruggerini,,
RUMAR,"Rumar Mfg Corp","Rumar Mfg",,
RUMBR,"Rumber Materials Inc","Rumber Materials",,
RUNOV,"Runo Vent Co","Runo Vent",,
RUPRT,"Rupert Safety Products","Rupert Safety Products",,
RUPPX,Rupp,Rupp,,
RUTEC,"Ruraltec S.A.","Ruraltec S.A.",,
RPPXX,"Rush Premium Power","Rush Premium Power",,
RSSLL,"RUSSELL ENGRG WORKS INC., JAMES",,,
RUMET,"Russell Metals Inc","Russell Metals",,
RSRLM,"Rustoleum Corp",Rustoleum,,"Requested by FedEx"
RUSTD,"Ruston Diesels","Ruston Diesels",,
RUTHF,"Rutherford Controls","Rutherford Controls",,
RWMCS,"RWM Casters","RWM Casters",,
RYAXX,"Ryadon Inc",Ryadon,,
RYANX,"RYAN INDUSTRIES, CORDON INT'L",,,
RYCOX,Ryco,Ryco,,
RYCOA,Ryco-Australia,Ryco-Australia,,
RYDER,"Ryder Fleet Products","Ryder Fleet Products",,
REYER,Ryerson,Ryerson,,
RYGOX,Rygo,Rygo,,
RYOBI,"Ryobi Inc",Ryobi,,"Requested by Parts River "
RYTEC,"Rytec Industries","Rytec Industries",,
SHIXX,"S and H Industries","S and H Industries",,
"GRDNA ","S and S Distributing LLC","S and S Distributing LLC",,
SFBOT,"S F Boot Brush Enterprises Ltd","S F Boot Brush",,
SAGTL,"S & G Tool Aid Corp","S & G Tool",,
SKWEL,"S.K. WELLMAN CO.",,,
SPMFL,"S. P. M. Flow Control Inc","S. P. M. Flow Control ",,
SSFRP,"S S F Repairs Inc","S S F Repairs Inc",,
SSTRP,"S & S TRUCK PARTS",,,
WHTIN,"S.S. WHITE",,,"Replaces - SSWHT"
SSWHT,"S.S. WHITE TECHNOLOGIES",,YES,"Obsolete - use WHTIN"
SVMAN,"S & V Manufacturing","S & V Manufacturing",,
SAGRX,"SA Gear Inc","SA Gear Inc",,
SAINS,"SA Industries","SA Industries",,
SAABX,"Saab Automobiles","Saab Automobiles",,
SABSC,"SAAB SCANIA AB",,,
SABEL,Sabel,Sabel,,
SABOR,"Sabo Suspension Systems ","Sabo Suspension Systems",,
"SABNT ","Sabrent USA",Sabrent,,
SACHS,"Sach's Dolmar","Sach's Dolmar",,
SACHC,"Sachs Clutch","Sachs Clutch",,
SACHE,"Sachse Rod Shop","Sachse Rod Shop",,
SCKSY,"Sackett Systems","Sackett Systems",,
SACMX,Sacm,Sacm,,
SACLO,Saco-Lowell,Saco-Lowell,,
DUPIL,"SAE Dupillier - Europe","SAE Dupillier - Europe",,
SAFHD,"SAF-Holland - Europe","SAF-Holland - Europe",,
SAFHL,"SAF-Holland Inc.",SAF-Holland,,"Replaces - HLLATReplaces - HLLNDReplaces - BNKLY"
SFTCT,Saf-T-Cart,Saf-T-Cart,,
SFTGL,"Saf-T-Glove Inc",Saf-T-Glove,,
SFTLT,"Saf-T-Lite General Manufacturing Inc",Saf-T-Lite,,
SAFSG,Saf-T-Signal,Saf-T-Signal,,
SFFLT,"Safe Fleet","Safe Fleet",,
SAFET,"Safe Truck by MS Carita","Safe Truck",,
SAFEN,"Safe-N-Secure Safety Equipment","Safe-N-Secure Safety",,
SAFTP,Safe-T-Plus,Safe-T-Plus,,
SACFA,"Safecross First Aid Ltd","Safecross First Aid",,
SFAUT,"Safeguard Automotive","Safeguard Automotive",,"Requested by Parts River "
SAFEL,Safeline,Safeline,,
SAFLT,"Safelite Auto Glass",Safelite,,
SAFPL,"Safeplast NA Company Ltd",Safeplast,,
SAFBR,"Safety Brand 555 Ltd","Safety Brand 555",,
SAFKL,"Safety Kleen Corp","Safety Kleen",,"Requested by FedEx"
SAFEP,"Safety Plus Inc","Safety Plus Inc ",,
SAFPR,"Safety Products Inc","Safety Products Inc",,
SFTYP,"Safety Pumping Systems LLC","Safety Pumping Systems",,
SAFRE,"Safety Resources Unlimited","Safety Resources Unlimited",,
SFTYS,"Safety Seal, North Shore Laboratories Corp","Safety Seal, North Shore Laboratories Corp",,
SFTST,"Safety Sight Inc","Safety Sight",,"Requested by Parts River "
SAFTG,"Safety Smart Gear","Safety Smart Gear",,
SFSTP,"Safety Step Corp","Safety Step Corp",,
SFTSC,"Safety Systems & Controls Inc","Safety Systems & Controls",,"Requested by Parts River "
SFTSL,"Safety Tire Seal","Safety Tire Seal",,
SAFTY,"Safety Vision, LLC","Safety Vision",,
SAWAY,"Safeway Hydraulics","Safeway Hydraulics",,
SAFOC,"Safoco Inc","Safoco Inc",,
SAFEW,"Safran Electrical & Power","Safran Electrical & Power",,
"SAGME ","Sag-Mecasa SA DE CV",Sag-Mecasa,,
SAGEX,"Sage Parts Inc","Sage Parts",,
SAGER,"Sager Electronics","Sager Electronics",,
SAGCE,"Saginaw Control & Engineering - SCE","Saginaw Control & Engineering ",,
SAIND,"Saginaw Industries","Saginaw Industries",,
SGSTG,"SAGINAW STEERING GEAR DIV., GMC CORP.",,,
SAIHY,"SAI Hydraulics Inc","SAI Hydraulics Inc",,
SAIAB,"Saia - Burgess Inc","Saia - Burgess",,"Requested by Parts River "
"SALUN ","Sailun Tires","Sailun Tires",,
SAINT,"Saint-Gobain Performance Plastics","Saint-Gobain Performance Plastics",,
SAKAI,Sakai,Sakai,,
SAKUR,"Sakura - ADR Group","Sakura - ADR Group",,
SALMI,"Salami S.p.A.","Salami S.p.A.",,
SALCO,"Salco Products Inc","Salco Products Inc",,
SLMSN,"SALEM SANDERS",,,
SALEM,"Salem Vent International, Inc.","Salem Vent",,
SLMRF,"SALIM'S REFRIGERATION CANADA, LTD.",,,
SASON,Salmson,Salmson,,
SABRO,Sambron,Sambron,,
SAMCO,"Samco Freezerwear","Samco Freezerwear",,
SMCRP,"Samcor Pretoria SA","Samcor Pretoria SA",,
SAMEX,"Same Tractors","Same Tractors",,
SAMIT,"Sami Instruments","Sami Instruments",,
"SMLXA ","Samlex America Inc","Samlex America Inc",,
SAMPA,"Sampa Automotive","Sampa Automotive",,
SAMAE,"Sams Auto & Electronic","Sams Auto & Electronic",,
SAMTL,"Sams Utility Trailer","Sams Utility Trailer",,
SAMRO,"Samson Rope Technologies","Samson Rope Technologies",,
SAMSN,"SAMSON TRAILER CO.",,,
SASUN,Samsung,Samsung,,
SAMST,"Samuel Strapping Systems","Samuel Strapping Systems",,
SANJR,"San Jor","San Jor",,
SJDEX,"San Jose Diesel Electric","San Jose Diesel Electric",,
SANBG,"Sandbagger Equipment Co",Sandbagger,,"Requested by Parts River "
SNDIN,"Sanden International (USA), Inc.",Sanden,,
SANMT,"Sandong Metal Industry Co Ltd","Sandong Metal Industry ",,
SANPR,Sandpiper,Sandpiper,,
SNDGM,"Sands Chevrolet","Sands Chevrolet",,
SANDS,"Sands Repair & Chrome Shop","Sands Repair & Chrome Shop",,
SANDY,"Sandusky Sales","Sandusky Sales",,
SNDVK,"Sandvik Process","Sandvik Process",,
SANGO,"SANGAMO ELECTRIC CO.",,,
SNGST,"SANGSTERS AUTO BODY",,,
SANHU,"Sanhua USA","Sanhua USA",,
SANKY,Sankyo,Sankyo,,
SANLU,"Sanluis Rassini","Sanluis Rassini",,
SCAXX,"Santa Cruz Gunlocks LLC","Santa Cruz Gunlocks",,
SADIS,"Santa Fe Distributing ","Santa Fe Distributing ",,
SNTCH,"Santech Industries Inc","Santech Industries",,
SANYG,"Sany Group","Sany Group",,
SANYO,"Sanyo Automotive","Sanyo Automotive",,
SAPCO,"SAP Corporation USA","SAP Corporation USA",,
SAPAX,"Sapa Fabricated Products (Sapa Extrusions) ","Sapa Extrusions",,
SARCO,"SARCO CO., INC.",,,
SARMF,"Sargent Manufacturing","Sargent Manufacturing",,
SASXX,"SAS Safety Corp","SAS Safety",,
SASEQ,"Sase Equipment",Sase,,"Requested by Parts River "
SATAX,"Sata GMBH & Co KG","Sata GMBH & Co KG",,
SATEL,"Sate-Lite Mfg Co",Sate-Lite,,
STLTR,"SATELLITE TRUCK BODY CO.",,,
SATBR,"Satisfied Brake Products","Satisfied Brake Products",,
SATOH,Satoh,Satoh,,
SATRN,"Saturn Motor Company",Saturn,,
SAUBR,"Sauber Mfg.","Sauber Mfg.",,
SARPR,"SAUER PRODUCTS, INC",,,
SAUER,Sauer-Danfoss,Sauer-Danfoss,YES,"Obsolete - use DANPW"
SAULK,Saulk,Saulk,,
SNDRS,"Saunders Mfg Co Inc","Saunders Mfg Co Inc",,
"SAVGE ","Savage Manufacturing Corp","Savage Manufacturing",,
SAVAR,Savara,Savara,,
SVLPR,"Save-A-Life Products",Save-A-Life,,"Requested by Parts River "
SVLOD,"Save-A-Load Inc",Save-A-Load,,
SAVRA,"Saver Automotive Products Inc","Saver Automotive Products",,
SAVIE,Saviem,Saviem,,
SAWXX,"Saw Light and Safety","Saw Light and Safety",,
SAWWA,"Sawafuji Electric Co Ltd","Sawafuji Electric",,
SAXTR,Saxby-Tracma,Saxby-Tracma,,
SAXON,SAXON,,,
SXNLD,"SAXON LODGE",,,
SXNTL,"SAXON TALLBOY",,,
SAYLR,"Saylor Electric Products Corp","Saylor Electric Products",,
SAYBE,"Saylor-Beall Manufacturing Co.",Saylor-Beall,,"400 N. Kibee StSt. Johns, Mi. 48879requested by Kirk NationaLease"
SBINT,"SB International ","SB International",,
SBNXX,"SBN - Walzalager Bearings","SBN - Walzalager Bearings",,
SCAGQ,"Scag Lawn Equipment",Scag,,"Requested by Parts River "
SCALS,"Scaler Sales","Scaler Sales",,
SCAMM,Scammell,Scammell,,
SCAPC,"Scan-Pac Manufacturing Inc",Sacn-Pac,,
SCNSK,ScanDisk,ScanDisk,,
SCNIA,SCANIA,,,
SCANA,"Scanreco North America",Scanreco,,
SCARL,"Scarlen Ind",Scarlen,,
SCEGK,"SCE Gaskets Inc","SCE Gaskets",,"Requested by SEFL "
SCLZI,"Scelzi Enterprises",Scelzi,,
SCPTR,"Scepter Corporation","Scepter Corporation",,
SCHNA,Schaeff-Namco,Schaeff-Namco,,
SCHAF,"SCHAEFFER MACHINE CO., INC.",,,
SCHLB,"Schaeffer Manufacturing Co","Schaeffer Mfg",,
SCHOL,"Schaeffer Oil","Schaeffer Oil",,"Requested by TMW "
SCHGR,"Schaeffler Group ","Schaeffler Group ",,
SCOIL,"Schafer Oil","Schafer Oil",,
SCRPF,"Scharpf Group Inc ","Scharpf Group Inc ",,
SCHTZ,"Schatz Bearing Corporation","Schatz Bearing",,
SCHAU,Schauer,Schauer,,
SCHLT,"Scheltema Trailer Mfg. Ltd.","Scheltema Trailer",,"Requested by Rich Viehdorfer, National Grid"
SCHRZ,"Schertzer Manufacturing","Schertzer Mfg",,
SCHBD,"SCHIEN BODY & EQUIPMENT CO",,,
SCHAG,Schlage,Schlage,,
SCHLG,"Schlegel Systems Inc","Schlegel Systems",,
SCHLM,Schlumberger-Neptune,Schlumberger-Neptune,,
SCHLU,Schluter,Schluter,,
SCHML,"Schmersal Inc ","Schmersal Inc ",,
SCHDT,"Schmidt Equipment","Schmidt Equipment",,
SCHEL,"Schneider Electric Inc.","Schneider Electric",,"requested by Kirk NationaLease"
SCHDR,SCHODORF,,,
ELSCH,"Schofield, E.L.","Schofield, E.L.",,
SCHON,SCHONEAU,,,
SCBUS,"School Bus Parts Co","School Bus Parts",,"Requested by Parts River "
SCHPF,Schopf,Schopf,,
SCHOR,Schorling,Schorling,,
SCHAT,"SCHRADER AUTOMOTIVE PRODUCTS DIV., SCOVILL MFG. CO.",,,
SCHBL,"Schrader Bellows div of Parker Hannifin","Schrader Bellows",,
SCBRI,"SCHRADER - BRIDGEPORT INC",,,
"SHDRI ","Schrader International Inc","Schrader International",,
SCHRM,"SCHRAMM INC.",,,
SCHRC,"SCHRECK INDUSTRIES INC.",,,
SCHRO,"Schroeder Filtration","Schroeder Filtration",,
SCROE,"Schroeder Industries","Schroeder Industries",,
SCHSL,"Schubert & Salzer Control Systems ","Schubert & Salzer Control Systems ",,
SCHEX,"Schuko Exhaust","Schuko Exhaust",,
SHMEL,"Schumacher Electrical",Schumacher,,"Requested by Jim Robinson, AutoZone"
SCHTR,"SCHUMACHER TRAILER & BODY CO.",,,
SCAPS,"Schupan Aluminum & Plastic Sales ","Schupan Aluminum & Plastic Sales ",,
SCHWB,"Schwab Tire","Schwab Tire",,
SCHWA,"Schwarze Ind","Schwarze Ind",,"Requested by Parts River "
SCWNG,Schwing,Schwing,,
SHWEN,"SCHWITZER ENGINEERED COMPONENTS, WALLACE MURRAY CORP.",,YES,"Obsolete - use BRGWR"
SCIXX,SCI,,,
SCION,"Scion div of Toyota Motor Sales",Scion,,
SCNIN,"SCN Industrial","SCN Industrial",,
SCMTR,"Scomar Transport Solutions","Scomar Transport Solutions",,
SCOMO,Scoop-Mobile,Scoop-Mobile,,
SCORP,"Scorpion ",Scorpion,,
SCTTH,"Scott Huber","Scott Huber",,
SINDS,"Scott Industrial Systems Inc","Scott Industrial",,"Requested by Parts River "
SCOPP,"Scott Paper","Scott Paper",,
SCOTT,"Scott Trailer","Scott Trailer",,"Requested by Parts River "
SCRTR,"SCRANTON TRUCK BODY & EQUIPMENT CO.",,,
SCNMA,"Screen Machine Inc","Screen Machine",,
SCRIP,Scripps,Scripps,,
FRGTT,"Scs/Frigette Corp.",Scs/Frigette,,"Requested by fedEx"
SCLLY,"Scully Envrionmental Systems","Scully Environmental",,
SCGNL,"Scully Signal Company","Scully Signal",,"70 industrial WayWilmington, Ma. 01887Requested by Bill Pratt"
SDIEQ,"SDI Equipment","SDI Equipment",,"Requested by Parts River "
SDMOX,SDMO,SDMO,,
SDPMN,"SDP Manufacturing Inc","SDP Manufacturing",,"400 Industrial DrDunkirk, Ind"
SEDOG,"Sea Dog Corporation","Sea Dog Corporation",,
SEAFM,"Sea Foam Sales Co","Sea Foam Sales",,
SELOC,"Sea-Loc Door Seal",Sea-Loc,,
SBRDC,"Seaboard Coast RR","Seaboard Coast RR",,
SEMAI,"Seaboard Marine Inc","Seaboard Marine",,
SEAPD,"Seachoice Products",Seachoice,,
SEGRV,"SEAGRAVE FIRE APPARATUS INC.",,,
SEALF,"Seal Fast Inc","Seal Fast Inc",,
"SEALS ","Seal Saver - Fluid Control Services","Seal Saver",,
SEALT,"Seal Tech Inc","Seal Tech ",,
SEALP,"Seal-Gap Co","Seal-Gap Co",YES,"Obsolete - use SEALG"
SEALG,"Seal-Gap Company","Seal-Gap Company",,
SLCAR,"SEALCO COMMERCIAL VEHICLE PRODUCTS",Sealco,,
SLDPW,"SEALED POWER CORPORATION",,,
SEALM,Sealmaster,Sealmaster,,
SSSXX,"Sealock Security Systems Inc","Sealock Security Systems",,
SEAIN,"Sealum Industries LTD","Sealum Industries",,
SEARY,"Searay Watercraft",Searay,,"Requested by Parts River "
SRSRB,"SEARS ROEBUCK",,,
SEARS,"Sears Seating","Sears Seating",,"Replaces - DURFM"
SEAST,"Seastrom Manufacturing Company, Inc.","Seastrom Manufacturing",,
SEATX,"Seat Automobiles","Seat Automobiles",,
SEATS,"SEATS, INC.",,,
SEAWR,"Seaward Solar","Seaward Solar",,
SBSCO,"Seaway Bolt & Specials Corp","Seaway Bolt & Specials",,"Requested by Parts River "
SECAM,"SEC America LLC","SEC America LLC",,
SECMC,"Securitron Magnalock Corp","Securitron Magnalock Corp",,
SECCH,"Security Chain Company","Security Chain Company",,"Replaces - SCCXX"
SCCXX,"Security Chain Company (SCC)","Security Chain Company (SCC)",YES,"Obsolete - use SECCH"
SECMS,"Security Masters Ltd","Security Masters",,
SDDAT,"SEDDON-ATKINSON VEHICLES LTD. (SUBS., IHC)",,,
SIIAF,"SEE II Air Foils ","SEE II Air Foils ",,
SPTXX,"Seekonk Manufacturing Co Inc",Seekonk,,
SEIND,"SEI Industries LTD","SEI Industries",,
SEIKO,"SEIKO INSTRUMENTS USA, INC.",,,
SELTL,"Select Tool Inc ","Select Tool Inc",,
SELPR,"Selecta Products Inc","Selecta Products Inc",,
SELCT,"SELECTA -SWITCH, INC.",,,
SELCI,"Selectrode Industries Inc","Selectrode Industries",,
"SELEE ","Selee Corporation","Selee Corporation",,
"SELLA ","Sellars Absorbent Materials Inc","Sellars Absorbent Materials",,
SELLK,"Sellick Equipment Limited","Sellick Equipment Limited",,
SELMA,"SELMA TRAILER & MFG. CO.",,,
SELTC,Seltec,Seltec,,"Requested by NAMDX, Scott Murray"
SEMPR,"SEM Products",SEM,,"Requested by FedEx"
SEMAC,Semac,Semac,,
SENDU,"Sen-Dure Products Inc","Sen-Dure Products",,
SENEC,"Senett Control Company Ltd","Senett Control",,
SENBN,Sennebogen,Sennebogen,,
STATC,"Sensata Technologies",Sensata,,"Requested by Parts River "
SENSN,"Sensen Struts & Shock Absorbers",Sensen,,
SENPR,"Sensible Products Inc","Sensible Products Inc",,
SENFC,"Sentinel Fluid Control ","Sentinel Fluid Control ",,
SENTR,"Sentrol Industrial","Sentrol Industrial",,
SENEQ,"Sentry Equipment & Erectors Inc","Sentry Equipment & Erectors Inc",,
SENIN,"Seon Design Inc","Seon ",,"Requested by Parts River "
SEPAR,Separ,Separ,,
SEPRN,"Separation Technologies","Separation Technologies",,
SQNTA,"SEQUENTIA, INC.",,,
SERCK,"Serck Services",Serck,,
SERDI,Serdi,Serdi,,
SERFI,Serfilco,Serfilco,,
SERIX,"Series 2","Series 2",,
SEROS,"Serious Industries","Serious Industries",,
SERTA,"Serta Mattress","Serta Mattress",,
SERUI,"Serui Signal","Serui Signal",,
SERVG,"Serva Group ","Serva Group ",,
SRVCP,"Service Champ","Service Champ",,
SEREL,"Service Electric Supply Inc","Service Electric Supply Inc",,
SERPR,"Service Pro Products","Service Pro Products",,
SRVPR,"SERVICE PRODUCTS CO., INC.",,,
SERVP,"Service Professionals Inc","Service Professionals",,
SRVRM,"SERVICE REMTEC, INC. - CN",,,
SRGXX,"Service Rubber Group","Service Rubber Group",,
SRVSP,"SERVICE SPRING",,,
SERTL,"Service Tool Company","Service Tool Company",,
SWCXX,"Service Wire Company","Service Wire Company",,
STCOX,"Setco Automotive Ltd","Setco Automotive ",,
"SETCO ","Setco Brake","Setco Brake",YES,"Obsolete - use STCOX"
STCOM,"Setcom Corporation ","Setcom Corporation ",,
SETHP,"Seth Pumps","Seth Pumps",,"Requested by Parts River "
SETNA,"Setina Manufacturing",Setina,,
SETRA,"Setra Omnibusse","Setra Omnibusse",,
SEVTL,"Severance Tool Industries Inc","Severance Tool",,
SEVSN,Severson,Severson,,
SEWED,"Sew-Eurodrive Inc","Sew-Eurodrive Inc",,
SEWER,"Sewer Equipment Company of America","Sewer Equipment Company of America",,
SEYMR,"Seymour of Sycamore",Seymour,,"Requested by FedEx"
SFXXX,"SF-Filter AG","SF-Filter AG",,
SFKXX,SFK,SFK,,
SGMXX,SGM,SGM,,
SHDTR,"Shadow Trailer","Shadow Trailer",,"Requested by Orange County Fire Authority"
SHKSP,SHAKESPEARE,,,
"SHLCS ","Shallcross Bolt and Specialties Co","Shallcross Bolt and Specialties Co",,
SHGHF,"Shanghai Filter","Shanghai Filter",,
"SHNCM ","Shanghai NCM Co","Shanghai NCM Co",,
SHARK,"Shark Industries","Shark Industries",,
SHARP,"Sharpe Manufacturing ","Sharpe Manufacturing",,
SHAVR,"Shaver Manufacturing Co","Shaver Manufacturing",,
SHAWD,"Shaw Development Inc ","Shaw Development Inc ",,
SHAWI,"Shaw Industries","Shaw Industries",,
SHAWT,"Shaw Transport Inc div of Shaw Industries","Shaw Transport",,
SHELB,"Shelby Industries Inc","Shelby Industries",,
SHLLO,"SHELL OIL",,,
SHLBN,"Shelton Binder Co Inc","Shelton Binder",,"Requested by Parts River "
SHPPR,"SHEPPARD, R. H. CO., INC.",,,
SHRMN,"Sherman & Associates Inc","Sherman & Assoc",,
SHRRL,"SHERMAN & REILLY, INC.",,,
SHRWN,"Sherwin-Williams, Co., The",Sherwin-Williams,,
SHRWD,"Sherwood Pumps","Sherwood Pumps",,
SHWOD,"Sherwood Valve","Sherwood Valve",,
SHIBA,Shibaura,Shibaura,,
